product,label,phase,lever,value,margin,margin_per_mol_e,margin_over_revenue,env_margin,env_margin_per_mol_e,env_margin_over_avoided,V_applied_V,eta_ohm_V,revenue,cost_total,gwp_avoided,gwp_total,kg_sold_per_m2_yr,breakeven_price_usd_per_kg
hydrogen,Hydrogen,gas,sandwich_thickness,1.0,-69.8634138555729,-0.02331801399562388,-12.851639106935561,53.293960537571564,0.017787698154378,1.7824773683639972,0.33399999999999996,0.2,5.436148126651811,103.49827619869848,29.89881469658496,25.952604037842466,2.7180740633259055,27.703278213871123
hydrogen,Hydrogen,gas,sandwich_thickness,1.0797751623277092,-69.94208336214203,-0.02334427118166692,-12.866110660089793,52.607827893623295,0.01755869058501537,1.7595288785689607,0.34729586038795146,0.2132958603879515,5.436148126651811,103.5769457052676,29.89881469658496,26.638736681790736,2.7180740633259055,27.73222132017959
hydrogen,Hydrogen,gas,sandwich_thickness,1.1659144011798324,-70.02702874136796,-0.023372623038988818,-12.881736683746041,51.8669589066257,0.01731141389963256,1.7347496692753488,0.3616524001966387,0.2276524001966387,5.436148126651811,103.66189108449353,29.89881469658496,27.379605668788326,2.7180740633259055,27.763473367492086
hydrogen,Hydrogen,gas,sandwich_thickness,1.2589254117941675,-70.11875065201062,-0.023403236670330858,-12.898609275976002,51.066986975926824,0.017044410676533485,1.7079936945379874,0.37715423529902786,0.2431542352990279,5.436148126651811,103.7536129951362,29.89881469658496,28.179577599487207,2.7180740633259055,27.797218551952007
hydrogen,Hydrogen,gas,sandwich_thickness,1.3593563908785253,-70.2177896929638,-0.023436292509082652,-12.916827881989997,50.203197154598826,0.016756107227969656,1.6791032575727167,0.3938927318130875,0.25989273181308753,5.436148126651811,103.85265203608938,29.89881469658496,29.043367420815198,2.7180740633259055,27.833655763979998
hydrogen,Hydrogen,gas,sandwich_thickness,1.4677992676220692,-70.32472958948583,-0.023471985382736753,-12.936499880256147,49.270498360057374,0.01644480432499701,1.6479080813088234,0.41196654460367815,0.2779665446036782,5.436148126651811,103.95959193261139,29.89881469658496,29.976066215356656,2.7180740633259055,27.87299976051229
hydrogen,Hydrogen,gas,sandwich_thickness,1.584893192461114,-70.44020063361219,-0.02351052566118055,-12.957741215377286,48.26339336777849,0.016108667182406628,1.6142243047946356,0.43148219874351895,0.297482198743519,5.436148126651811,104.07506297673775,29.89881469658496,30.983171207635532,2.7180740633259055,27.91548243075457
hydrogen,Hydrogen,gas,sandwich_thickness,1.711328304161781,-70.56488339902788,-0.02355214049659335,-12.980677081455768,47.17594641125954,0.01574571464470173,1.577853399541219,0.4525547173602968,0.31855471736029684,5.436148126651811,104.19974574215345,29.89881469658496,32.07061816415449,2.7180740633259055,27.96135416291154
hydrogen,Hydrogen,gas,sandwich_thickness,1.8478497974222907,-70.69951275229408,-0.02359707516225645,-13.005442659973793,46.00174819726151,0.015353807509384174,1.5385809994172053,0.4753082995703817,0.3413082995703817,5.436148126651811,104.33437509541965,29.89881469658496,33.244816378152514,2.7180740633259055,28.010885319947583
hydrogen,Hydrogen,gas,sandwich_thickness,1.9952623149688788,-70.84488218407117,-0.023645594498166965,-13.032183916538232,44.73387813013687,0.014930635918729266,1.496175637198299,0.4998770524948131,0.36587705249481317,5.436148126651811,104.47974452719673,29.89881469658496,34.512686445277154,2.7180740633259055,28.06436783307646
hydrogen,Hydrogen,gas,sandwich_thickness,2.1544346900318843,-71.00184848586574,-0.02369798447197577,-13.06105846118594,43.364863522596934,0.014473705745737392,1.4503873803248148,0.5264057816719806,0.39240578167198065,5.436148126651811,104.63671082899131,29.89881469658496,35.88170105281709,2.7180740633259055,28.122116922371884
hydrogen,Hydrogen,gas,sandwich_thickness,2.3263050671536263,-71.17133679986597,-0.023754553864449524,-13.092236477320064,41.88663555251148,0.013980323894022659,1.400946357826545,0.5550508445256044,0.4210508445256044,5.436148126651811,104.80619914299155,29.89881469658496,37.35992902290255,2.7180740633259055,28.18447295464013
hydrogen,Hydrogen,gas,sandwich_thickness,2.5118864315095792,-71.35434607162821,-0.02381563608939065,-13.12590172475234,40.290481706155106,0.01344758242499784,1.3475611697328282,0.5859810719182632,0.4519810719182632,5.436148126651811,104.98920841475379,29.89881469658496,38.95608286925892,2.7180740633259055,28.251803449504685
hydrogen,Hydrogen,gas,sandwich_thickness,2.71227257933203,-71.55195493775278,-0.02388159115874179,-13.162252622763333,38.56699442760563,0.012872341418802854,1.289917169593039,0.6193787632220049,0.4853787632220049,5.436148126651811,105.18681728087836,29.89881469658496,40.6795701478084,2.7180740633259055,28.32450524552667
hydrogen,Hydrogen,gas,sandwich_thickness,2.9286445646252375,-71.76532808324981,-0.023952807804456754,-13.201503419563908,36.70601567164016,0.012251210467961121,1.2276746099848808,0.6554407607708728,0.5214407607708729,5.436148126651811,105.40019042637539,29.89881469658496,42.54054890377387,2.7180740633259055,28.403006839127816
hydrogen,Hydrogen,gas,sandwich_thickness,3.1622776601683795,-71.99572310606527,-0.02402970576964407,-13.243885455050744,34.69657703332912,0.011580528694689222,1.1604666400802892,0.694379610028063,0.5603796100280631,5.436148126651811,105.63058544919083,29.89881469658496,44.54998754208491,2.7180740633259055,28.487770910101485
hydrogen,Hydrogen,gas,sandwich_thickness,3.414548873833601,-72.2444979292253,-0.02411273828248687,-13.289648524298318,32.52683510145924,0.010856343174084319,1.087897143466843,0.7364248123056001,0.6024248123056001,5.436148126651811,105.87936027235087,29.89881469658496,46.719729473954786,2.7180740633259055,28.579297048596633
hydrogen,Hydrogen,gas,sandwich_thickness,3.6869450645195734,-72.51311880428597,-0.02420239472752017,-13.33906234982373,30.18400165476521,0.010074385636017785,1.009538403481019,0.7818241774199288,0.6478241774199288,5.436148126651811,106.14798114741154,29.89881469658496,49.062562920648816,2.7180740633259055,28.67812469964746
