product,label,phase,lever,value,margin,margin_per_mol_e,margin_over_revenue,env_margin,env_margin_per_mol_e,env_margin_over_avoided,V_applied_V,eta_ohm_V,revenue,cost_total,gwp_avoided,gwp_total,kg_sold_per_m2_yr,breakeven_price_usd_per_kg
hydrogen,Hydrogen,gas,sandwich_thickness,1.0,-98.06212807204666,-0.032729778701506236,-18.038899196156436,3.946210658742494,0.0013171099190838853,0.13198552179371947,0.33399999999999996,0.2,5.436148126651811,103.49827619869848,29.89881469658496,25.952604037842466,2.7180740633259055,38.07779839231287
hydrogen,Hydrogen,gas,sandwich_thickness,1.0797751623277092,-98.14079757861579,-0.03275603588754927,-18.05337074931067,3.2600780147942245,0.0010881023497212562,0.10903703199868289,0.34729586038795146,0.2132958603879515,5.436148126651811,103.5769457052676,29.89881469658496,26.638736681790736,2.7180740633259055,38.10674149862134
hydrogen,Hydrogen,gas,sandwich_thickness,1.1659144011798324,-98.22574295784172,-0.03278438774487117,-18.068996772966916,2.5192090277966344,0.000840825664338447,0.08425782270507125,0.3616524001966387,0.2276524001966387,5.436148126651811,103.66189108449353,29.89881469658496,27.379605668788326,2.7180740633259055,38.13799354593383
hydrogen,Hydrogen,gas,sandwich_thickness,1.2589254117941675,-98.31746486848438,-0.03281500137621321,-18.085869365196878,1.7192370970977535,0.0005738224412393688,0.05750184796770973,0.37715423529902786,0.2431542352990279,5.436148126651811,103.7536129951362,29.89881469658496,28.179577599487207,2.7180740633259055,38.171738730393756
hydrogen,Hydrogen,gas,sandwich_thickness,1.3593563908785253,-98.41650390943757,-0.032848057214965004,-18.104087971210873,0.8554472757697624,0.0002855189926755415,0.028611411002439222,0.3938927318130875,0.25989273181308753,5.436148126651811,103.85265203608938,29.89881469658496,29.043367420815198,2.7180740633259055,38.20817594242175
hydrogen,Hydrogen,gas,sandwich_thickness,1.4677992676220692,-98.52344380595957,-0.0328837500886191,-18.123759969477018,-0.07725151877169623,-2.578391029710499e-05,-0.002583765261454324,0.41196654460367815,0.2779665446036782,5.436148126651811,103.95959193261139,29.89881469658496,29.976066215356656,2.7180740633259055,38.247519938954035
hydrogen,Hydrogen,gas,sandwich_thickness,1.584893192461114,-98.63891485008594,-0.032922290367062894,-18.145001304598157,-1.0843565110505722,-0.000361921052887486,-0.03626754177564194,0.43148219874351895,0.297482198743519,5.436148126651811,104.07506297673775,29.89881469658496,30.983171207635532,2.7180740633259055,38.290002609196314
hydrogen,Hydrogen,gas,sandwich_thickness,1.711328304161781,-98.76359761550164,-0.032963905202475705,-18.167937170676645,-2.1718034675695286,-0.0007248735905923826,-0.07263844702905871,0.4525547173602968,0.31855471736029684,5.436148126651811,104.19974574215345,29.89881469658496,32.07061816415449,2.7180740633259055,38.33587434135329
hydrogen,Hydrogen,gas,sandwich_thickness,1.8478497974222907,-98.89822696876783,-0.0330088398681388,-18.192702749194666,-3.3460016815675537,-0.00111678072590994,-0.11191084715307238,0.4753082995703817,0.3413082995703817,5.436148126651811,104.33437509541965,29.89881469658496,33.244816378152514,2.7180740633259055,38.38540549838933
hydrogen,Hydrogen,gas,sandwich_thickness,1.9952623149688788,-99.04359640054491,-0.033057359204049314,-18.2194440057591,-4.613871748692194,-0.0015399523165648484,-0.15431620937197854,0.4998770524948131,0.36587705249481317,5.436148126651811,104.47974452719673,29.89881469658496,34.512686445277154,2.7180740633259055,38.43888801151821
hydrogen,Hydrogen,gas,sandwich_thickness,2.1544346900318843,-99.2005627023395,-0.033109749177858125,-18.248318550406815,-5.982886356232132,-0.001996882489556722,-0.2001044662454628,0.5264057816719806,0.39240578167198065,5.436148126651811,104.63671082899131,29.89881469658496,35.88170105281709,2.7180740633259055,38.49663710081363
hydrogen,Hydrogen,gas,sandwich_thickness,2.3263050671536263,-99.37005101633973,-0.03316631857033188,-18.27949656654094,-7.461114326317588,-0.0024902643412714563,-0.24954548874373259,0.5550508445256044,0.4210508445256044,5.436148126651811,104.80619914299155,29.89881469658496,37.35992902290255,2.7180740633259055,38.55899313308188
hydrogen,Hydrogen,gas,sandwich_thickness,2.5118864315095792,-99.55306028810197,-0.033227400795273004,-18.313161813973217,-9.057268172673961,-0.003023005810296275,-0.3029306768374494,0.5859810719182632,0.4519810719182632,5.436148126651811,104.98920841475379,29.89881469658496,38.95608286925892,2.7180740633259055,38.626323627946434
hydrogen,Hydrogen,gas,sandwich_thickness,2.71227257933203,-99.75066915422654,-0.03329335586462415,-18.349512711984207,-10.780755451223438,-0.00359824681649126,-0.36057467697723866,0.6193787632220049,0.4853787632220049,5.436148126651811,105.18681728087836,29.89881469658496,40.6795701478084,2.7180740633259055,38.699025423968415
hydrogen,Hydrogen,gas,sandwich_thickness,2.9286445646252375,-99.96404229972357,-0.033364572510339106,-18.38876350878478,-12.641734207188907,-0.004219377767332994,-0.422817236585397,0.6554407607708728,0.5214407607708729,5.436148126651811,105.40019042637539,29.89881469658496,42.54054890377387,2.7180740633259055,38.77752701756957
hydrogen,Hydrogen,gas,sandwich_thickness,3.1622776601683795,-100.19443732253902,-0.03344147047552642,-18.431145544271615,-14.651172845499946,-0.004890059540604893,-0.49002520648998843,0.694379610028063,0.5603796100280631,5.436148126651811,105.63058544919083,29.89881469658496,44.54998754208491,2.7180740633259055,38.86229108854323
hydrogen,Hydrogen,gas,sandwich_thickness,3.414548873833601,-100.44321214569905,-0.03352450298836922,-18.47690861351919,-16.820914777369826,-0.005614245061209795,-0.5625947031034347,0.7364248123056001,0.6024248123056001,5.436148126651811,105.87936027235087,29.89881469658496,46.719729473954786,2.7180740633259055,38.95381722703838
hydrogen,Hydrogen,gas,sandwich_thickness,3.6869450645195734,-100.71183302075973,-0.03361415943340253,-18.526322439044602,-19.163748224063855,-0.006396202599276329,-0.6409534430892585,0.7818241774199288,0.6478241774199288,5.436148126651811,106.14798114741154,29.89881469658496,49.062562920648816,2.7180740633259055,39.052644878089204
