j_A_m2,stack_cost_max_usd_per_m2_yr
0.1,0.28198714216473764
0.11220184543019636,0.31639477738470695
0.12589254117941673,0.35500077907040267
0.14125375446227545,0.3983174254085661
0.15848931924611134,0.44691950197845676
0.1778279410038923,0.5014519288072714
0.19952623149688797,0.562638318067073
0.223872113856834,0.6312905759686738
0.251188643150958,0.7083196762637674
0.28183829312644537,0.7947477483131393
0.31622776601683794,0.8917216401222746
0.35481338923357547,1.0005281363176062
0.3981071705534973,1.122611032996705
0.44668359215096315,1.2595902960252932
0.5011872336272724,1.4132835570000521
0.5623413251903491,1.585730232115579
0.6309573444801934,1.7792185839782162
0.707945784384138,1.996316085460566
0.7943282347242815,2.2399034885066103
0.8912509381337457,2.5132130499597634
1.0,2.8198714216473757
1.1220184543019636,3.1639477738470694
1.2589254117941675,3.5500077907040275
1.4125375446227548,3.9831742540856605
1.584893192461114,4.4691950197845705
1.7782794100389228,5.014519288072714
1.9952623149688797,5.626383180670729
2.23872113856834,6.312905759686737
2.511886431509581,7.083196762637677
2.818382931264455,7.947477483131399
3.1622776601683795,8.917216401222747
3.548133892335755,10.005281363176064
3.981071705534973,11.226110329967048
4.466835921509633,12.595902960252934
5.011872336272725,14.132835570000521
5.623413251903491,15.85730232115579
6.309573444801933,17.79218583978216
7.07945784384138,19.96316085460566
7.943282347242818,22.399034885066108
8.91250938133746,25.132130499597636
10.0,28.198714216473757
