product,label,phase,mode,j_A_m2,ce,anode_thickness_mm,stack_cost_mult,price_mult,grid_ci,catholyte_wt_pct,mol_e_per_m2_yr,m3_treated_per_m2_yr,kg_formed_per_m2_yr,kg_sold_per_m2_yr,dsp_recovery,E_thermo_V,eta_ohm_V,eta_ph_V,eta_kin_V,V_applied_V,kWh_cell_per_m2_yr,kWh_pump_per_m2_yr,revenue,credit_treatment,cost_stack,cost_elec_cell,cost_pump,cost_dsp_var,cost_dsp_capex,cost_co2,cost_total,margin,margin_per_mol_e,revenue_per_mol_e,cost_per_mol_e,margin_over_revenue,breakeven_price_usd_per_kg,breakeven_price_mult,gwp_avoided,gwp_credit_treatment,gwp_stack,gwp_elec_cell,gwp_pump,gwp_dsp,gwp_co2,gwp_total,env_margin,env_margin_per_mol_e,gwp_avoided_per_mol_e,gwp_total_per_mol_e,env_margin_over_avoided,dsp_route,dsp_electricity_kWh_per_kg,dsp_steam_MJ_per_kg,dsp_chemicals_usd_per_kg,dsp_water_removed_kg_per_kg,dsp_capex_usd,area_m2,volume_m3,hrt_h,current_plant_A,product_t_per_yr,stack_tic_usd,margin_plant_usd_per_yr,env_margin_plant_t_per_yr
hydrogen,Hydrogen,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,3.0200822925843394,2.7180740633259055,0.9,-0.13399999999999995,0.2,0.0,0.0,0.33399999999999996,28.23178947368421,4.747071421647375,5.436148126651811,0.0,98.33066813555696,1.976225263157895,0.33229499951531627,0.4228115209618076,2.4362762795065,0.0,103.49827619869848,-98.06212807204666,-0.032729778701506236,0.0018144,0.03454417870150624,-18.038899196156436,38.07779839231287,19.038899196156436,29.89881469658496,0.0,2.13071955,17.236064187797076,2.898180712343409,3.6876395877019834,0.0,25.952604037842466,3.946210658742494,0.0013171099190838853,0.0099792,0.008662090080916115,0.13198552179371947,gas,2.0,0.0,0.0,0.0,94095.67176822902,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,15.480234,2904600.520833333,-558492.7613178269,22.474834381767646
methane,Methane,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,6.008330880447738,5.828080954034306,0.97,0.040000000000000036,0.2,0.0,0.0,0.15999999999999998,13.524210526315787,4.747071421647375,1.4570202385085764,0.0,95.57534452264919,0.9466947368421053,0.33229499951531627,0.23552657051355136,1.41876087340214,0.49460579807845784,99.00322750100075,-97.54620726249217,-0.03255758201093662,0.0004863034375,0.033043885448436616,-66.94910934273751,16.98727733568438,67.94910934273751,4.662464763227445,0.0,2.18071955,8.256797215711172,2.898180712343409,2.0541945106077404,0.0,15.389891988662322,-10.727427225434877,-0.0035804476817700433,0.001556171,0.005136618681770043,-2.300806069365155,gas,0.56,0.0,0.0,0.0,54796.43609562037,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,33.1926411265625,2819171.09375,-555554.4400391197,-61.09586412980357
carbon_monoxide,Carbon monoxide,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,41.96056796393222,37.764511167539,0.9,-0.24,0.2,0.0,0.0,0.44,37.19157894736843,4.747071421647375,22.6587067005234,0.0,203.59250938665548,2.6034105263157903,0.33229499951531627,2.3497918059802045,23.056511730006907,1.9776015681401253,233.91212001661384,-211.25341331609044,-0.070509151735862,0.007562700000000001,0.078071851735862,-9.323277630457639,6.193966578274584,10.32327763045764,60.4232178680624,0.0,6.48071955,22.706192343205732,2.898180712343409,20.494203343558052,0.0,52.57929594910719,7.8439219189552105,0.0026180324005479227,0.020167200000000003,0.01754916759945208,0.12981635529711225,gas,0.8,0.0,0.0,0.0,890505.7189599681,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,215.08003687500002,5040336.197916666,-1203150.537932815,44.673450374849615
hydrogen_peroxide,Hydrogen peroxide,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,50.956398403896976,49.42770645178007,0.97,0.561,0.2,0.0,0.0,-0.36100000000000004,-26.089470000000002,4.747071421647375,59.31324774213608,0.0,144.07327972883678,-1.8262629000000004,0.33229499951531627,39.1053960322478,14.10074829073258,0.0,195.78545615133248,-136.4722084091964,-0.04554974757285636,0.01979673,0.06534647757285636,-2.30087229420497,3.961046753045964,3.30087229420497,72.40164767844195,0.0,4.68071955,-15.92813590384583,2.898180712343409,504.15953251169975,0.0,495.8102968701973,-423.40864919175533,-0.1413193009452972,0.024165189484760177,0.1654844904300574,-5.848052672395576,liquid_evaporation,0.9714285714285714,77.71428571428572,0.0,97.14285714285714,544609.5724085751,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,281.50537628125,3758894.7916666665,-777249.5051463277,-2411.437221505315
formic_acid,Formic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.5,2996.113385500337,140.9935710823688,68.9480592838265,65.50065631963517,0.95,-0.14999999999999997,0.2,0.0,0.0,0.35,29.58421052631579,4.747071421647375,42.575426607762864,0.0,203.59250938665548,2.0708947368421056,0.33229499951531627,44.32211077628648,17.002484583165156,1.9774303402601439,269.29772482272466,-226.7222982149618,-0.07567213554473014,0.01421021875,0.08988235429473014,-5.325191460879527,4.111374449571692,6.325191460879527,163.7516407990879,0.0,6.48071955,18.061743909368193,2.898180712343409,487.2994817588567,0.0,514.7401259305683,-350.9884851314804,-0.11714793132666004,0.05465468749999999,0.17180261882666004,-2.1434196531937,liquid_salt_acid,0.6333333333333334,54.66666666666667,0.1065,63.333333333333336,656682.5864700187,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,373.04556953124995,5040336.197916666,-1291250.402901389,-1998.9830131752951
acetic_acid,Acetic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.2,2996.113385500337,140.9935710823688,22.490325128258277,21.365808871845363,0.95,0.0,0.2,0.0,0.0,0.2,16.905263157894737,4.747071421647375,11.751194879514951,0.0,95.57534452264919,1.1833684210526316,0.33229499951531627,16.65633478998808,9.987831032495002,0.989124499140799,124.72429826484101,-112.97310338532606,-0.03770655140491623,0.00392214625,0.04162869765491623,-9.613754562292579,5.83756500926092,10.61375456229258,34.18529419495258,0.0,2.18071955,10.320996519638967,2.898180712343409,193.7107674431602,0.0,209.11066422514256,-174.92537003018998,-0.058384095500771,0.01140988,0.069793975500771,-5.116977172483058,liquid_salt_acid,0.8,67.0,0.0816,80.0,385757.42760199297,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,121.68458740624999,2819171.09375,-643415.1665356393,-996.2516096012811
methanol,Methanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,16.000244183033633,15.520236857542624,0.97,-0.09999999999999998,0.2,0.0,0.0,0.3,25.357894736842105,4.747071421647375,6.984106585894181,0.0,203.59250938665548,1.7750526315789477,0.33229499951531627,2.32806752911976,4.6290862456948725,0.6590500578991554,213.31606085046351,-206.33195426456933,-0.06886653731568068,0.0023310555,0.07119759281568068,-29.543070645757115,13.744381790590703,30.543070645757115,12.4161894860341,0.0,6.48071955,15.481494779458451,2.898180712343409,28.395532423568014,0.0,53.25592746536987,-40.83973797933577,-0.013630905351239146,0.004144098666666667,0.017775004017905813,-3.289232821814847,liquid_distillation,0.5,12.278000000000002,0.0,99.0,178788.00677317276,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,88.39232952916667,5040336.197916666,-1175121.3761204462,-232.59436118720697
ethanol,Ethanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,11.502079286935793,11.15701690832772,0.97,-0.02999999999999997,0.2,0.0,0.0,0.22999999999999998,19.44105263157895,4.747071421647375,8.925613526662175,0.0,95.57534452264919,1.3608736842105265,0.33229499951531627,1.8288536107813653,3.797389280963883,0.6594142055200289,103.5541703036403,-94.62855677697813,-0.031583770238780735,0.002979064,0.03456283423878074,-10.601910613125712,9.28152849050057,11.601910613125712,15.619823671658805,0.0,2.18071955,11.869145997584813,2.898180712343409,22.47752475394481,0.0,39.425571013873025,-23.805747342214218,-0.007945542868111038,0.005213361999999999,0.013158904868111039,-1.5240727323579368,liquid_distillation,0.5,13.778000000000002,0.0,99.0,146665.58894139386,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,63.542504162499995,2819171.09375,-538937.5594119948,-135.5807571157297
caustic_soda,Caustic soda,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,3.0,2996.113385500337,140.9935710823688,119.83554707985698,117.43883613825984,0.98,-0.5479999999999999,0.2,0.0,0.0,0.748,63.22568421052632,4.747071421647375,58.71941806912992,0.0,98.33066813555696,4.425797894736843,0.33229499951531627,29.6632924205006,11.946254398289646,0.0,144.69830784859937,-85.97888977946945,-0.0286968077361703,0.019598530000000003,0.0482953377361703,-1.4642326611317429,1.2321163305658713,2.4642326611317427,129.18271975208583,0.0,2.13071955,38.60052698344974,2.898180712343409,382.42885015523035,0.0,426.0582774010235,-296.8755576489376,-0.09908689006419588,0.04311676600000001,0.1422036560641959,-2.2981058009822877,liquid_evaporation,0.31333333333333335,25.06666666666667,0.0,31.333333333333336,461397.1092592685,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,668.848832575,2904600.520833333,-489675.15300807595,-1690.7939203329224
copper,Copper,solid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,95.1955105975022,92.33964527957714,0.97,0.56,0.2,0.0,0.0,-0.36000000000000004,-26.017200000000006,4.747071421647375,831.0568075161942,0.0,102.24920504372358,-1.8212040000000007,0.33229499951531627,28.796641955744416,6.1366088020549725,0.0,135.69354680103828,695.363260715156,0.23208843299467907,0.27737829,0.04528985700532095,0.836721695106993,1.4695047440370639,0.1632783048930071,304.72082942260454,0.0,2.18071955,-15.884013643724375,2.898180712343409,43.58905231400861,0.0,32.78393893262765,271.9368904899769,0.09076321737555494,0.101705373,0.010942155624445064,0.8924131999944088,solid_metal,0.75,0.0,0.25,0.0,237012.66250687937,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,525.9015328875,3160888.802083333,3960298.998512955,1548.7608504921257
